true_label,pred_label,count,avg_decision_margin,avg_hair_ratio,risky_errors,support,pct_of_true
mel,nv,106,1.058712487858146,0.02641509433962264,106,223,0.47533632286995514
bkl,nv,92,1.0436412265503532,0.024173913043478264,0,220,0.41818181818181815
bcc,nv,53,1.0397657327204497,0.037283018867924525,0,103,0.5145631067961165
nv,mel,42,0.9917482547294872,0.024785714285714282,0,1341,0.03131991051454139
mel,bkl,38,0.941297495936967,0.028710526315789475,38,223,0.17040358744394618
nv,bkl,28,1.0200855884009274,0.02078571428571429,0,1341,0.020879940343027592
bkl,mel,24,0.971325904295164,0.02366666666666667,0,220,0.10909090909090909
vasc,nv,22,1.0783098622381946,0.032318181818181815,0,28,0.7857142857142857
akiec,nv,20,1.146369770454995,0.028999999999999998,0,65,0.3076923076923077
bcc,bkl,16,1.0872239664924996,0.0161875,16,103,0.1553398058252427
df,nv,15,1.0388491290975534,0.019733333333333332,0,23,0.6521739130434783
akiec,bcc,10,1.1209273732945821,0.0248,0,65,0.15384615384615385
nv,bcc,10,1.0167875306044527,0.045,0,1341,0.007457121551081283
bcc,akiec,9,0.790336092677694,0.015333333333333334,0,103,0.08737864077669903
bkl,akiec,9,0.7919748274843479,0.014888888888888889,0,220,0.04090909090909091
bkl,bcc,9,1.0165738126951132,0.031111111111111107,0,220,0.04090909090909091
akiec,bkl,8,0.9000237837975721,0.018625000000000003,8,65,0.12307692307692308
akiec,mel,7,1.161333029553101,0.013,0,65,0.1076923076923077
mel,akiec,7,1.0183923129714143,0.024,0,223,0.03139013452914798
bcc,mel,6,1.0308548529430555,0.017666666666666667,0,103,0.05825242718446602
nv,akiec,4,0.7754130352100999,0.00625,0,1341,0.002982848620432513
df,bkl,3,1.0340320101425988,0.06533333333333334,0,23,0.13043478260869565
mel,bcc,3,0.6790528808071526,0.025666666666666667,0,223,0.013452914798206279
df,bcc,2,1.015630658507411,0.0165,0,23,0.08695652173913043
df,mel,2,1.0082075055684214,0.059,0,23,0.08695652173913043
vasc,bcc,2,1.0495283589634,0.0475,0,28,0.07142857142857142
vasc,bkl,2,1.0026972855199299,0.07250000000000001,0,28,0.07142857142857142
df,akiec,1,1.0279881427493782,0.02,0,23,0.043478260869565216
vasc,akiec,1,0.034224002857545344,0.038,0,28,0.03571428571428571
vasc,mel,1,1.02916104317565,0.056,0,28,0.03571428571428571
