experiment,文件,accuracy,weighted_precision,weighted_recall,weighted_f1
artifacts_best_practice\A_single_stage_control,classification_report.csv,0.7194208686969545,0.6651508784421125,0.7194208686969545,0.685112316159188
artifacts_svm_smote_hsv_nopre,classification_report.csv,0.7194208686969545,0.6651508784421125,0.7194208686969545,0.685112316159188
artifacts_ann_full_dataset,classification_report.csv,0.6784822765851223,0.6552644162096432,0.6784822765851223,0.6653084140176883
artifacts_full,classification_report.csv,0.6480279580629057,0.658387623154348,0.6480279580629057,0.6507588227309705
artifacts_ann_texture_only,classification_report.csv,0.6605092361457813,0.6361962122778371,0.6605092361457813,0.6405253063550859
artifacts_smoteenn_ann,classification_report.csv,0.5971043434847728,0.6715097498116881,0.5971043434847728,0.6250545274641685
artifacts_ann_smote_texture,classification_report.csv,0.6640039940089866,0.5853305328193691,0.6640039940089866,0.616151232526854
artifacts_robust_svm,classification_report.csv,0.6744882675986021,0.5857053403019828,0.6744882675986021,0.6156407036031318
artifacts_coverage\round_032,classification_report.csv,0.4952380952380952,0.4852198743270171,0.4952380952380952,0.4858578956237289
artifacts_coverage\round_049,classification_report.csv,0.4761904761904761,0.4713922904951044,0.4761904761904761,0.4693381607691631
artifacts_coverage\round_018,classification_report.csv,0.473015873015873,0.4765860262047294,0.473015873015873,0.4680363625451861
artifacts_coverage\round_017,classification_report.csv,0.4603174603174603,0.4628999113165394,0.4603174603174603,0.4581169878900655
artifacts_coverage\round_052,classification_report.csv,0.4444444444444444,0.4511358065493404,0.4444444444444444,0.4461430442730517
artifacts_coverage\round_014,classification_report.csv,0.4476190476190476,0.461718839216137,0.4476190476190476,0.4438872479400629
artifacts_coverage\round_055,classification_report.csv,0.4380952380952381,0.4509737930020343,0.4380952380952381,0.4411379925287128
artifacts_coverage\round_056,classification_report.csv,0.4412698412698412,0.4506209378574718,0.4412698412698412,0.4383473566299308
artifacts_coverage\round_045,classification_report.csv,0.4412698412698412,0.435797417607533,0.4412698412698412,0.4365647928565861
artifacts_coverage\round_035,classification_report.csv,0.4380952380952381,0.4358235798720409,0.4380952380952381,0.4337783548081328
artifacts_coverage\round_030,classification_report.csv,0.4317460317460317,0.4376302978792503,0.4317460317460317,0.4328257216425527
artifacts_coverage\round_051,classification_report.csv,0.4349206349206349,0.4345885033262635,0.4349206349206349,0.4307981686024235
artifacts_coverage\round_023,classification_report.csv,0.4285714285714285,0.4435092262362705,0.4285714285714285,0.4304472572965054
artifacts_coverage\round_039,classification_report.csv,0.4285714285714285,0.427570995099464,0.4285714285714285,0.4257948441835698
artifacts_coverage\round_016,classification_report.csv,0.4317460317460317,0.4298539388376049,0.4317460317460317,0.4252622528443197
